iter	RMSE
0	1.05626665
1	1.053858439
2	1.05150448
3	1.048970075
4	1.046245743
5	1.044114923
6	1.041458577
7	1.038695318
8	1.036989395
9	1.034589688
10	1.032196019
11	1.029706775
12	1.027283324
13	1.024897583
14	1.022515451
15	1.019978694
16	1.017546262
17	1.014906966
18	1.012343051
19	1.010063146
20	1.007529
21	1.005426015
22	1.003512329
23	1.001063104
24	0.9984357887
25	0.9962224134
26	0.9946112434
27	0.9927756304
28	0.9903031046
29	0.9884700443
30	0.9862263265
31	0.9839565283
32	0.9817054441
33	0.9795065429
34	0.9770475966
35	0.9752816334
36	0.9731271932
37	0.9710123167
38	0.9690461424
39	0.9667528746
40	0.9645244635
41	0.9624651246
42	0.9601836546
43	0.9579860827
44	0.956301006
45	0.9542076963
46	0.9520889721
47	0.9498955601
48	0.9479773401
49	0.945841613
50	0.9438011276
51	0.9418418995
52	0.9396873382
53	0.9377563993
54	0.9358993248
55	0.9339731071
56	0.931835894
57	0.9304192526
58	0.9285881676
59	0.9272161063
60	0.9252599095
61	0.9235812808
62	0.9216359217
63	0.9200337633
64	0.9181331653
65	0.9163772715
66	0.9144109245
67	0.9124997321
68	0.9106130591
69	0.908838429
70	0.90751816
71	0.905887549
72	0.9044177667
73	0.9025189133
74	0.9006620719
75	0.8986682738
76	0.8966404052
77	0.8954511042
78	0.8939253555
79	0.8921614699
80	0.8903060286
81	0.8885822147
82	0.8870139896
83	0.8853366603
84	0.8836351376
85	0.882089518
86	0.880197259
87	0.8784229864
88	0.8766559552
89	0.8750715718
90	0.8733159719
91	0.8714376812
92	0.8696461824
93	0.8679539652
94	0.866213558
95	0.8645867855
96	0.8629081951
97	0.8612737436
98	0.8600650661
99	0.8588094174
100	0.8571540181
101	0.8553973499
102	0.8540459064
103	0.8523854015
104	0.8508148581
105	0.8493791308
106	0.8481995681
107	0.8466421435
108	0.845172934
109	0.8435543764
110	0.8418764183
111	0.8401831598
112	0.8385396892
113	0.8374133395
114	0.8361236184
115	0.8351396153
116	0.8338221157
117	0.8322328813
118	0.830758188
119	0.829271296
120	0.827878473
121	0.8265195788
122	0.8250805194
123	0.823683976
124	0.8223071647
125	0.8208529632
126	0.8195378928
127	0.8188144902
128	0.817427964
129	0.8161487507
130	0.8147660669
131	0.8135797595
132	0.8120737652
133	0.8106523743
134	0.8094313885
135	0.8080502816
136	0.8071894329
137	0.8059297429
138	0.804556471
139	0.8036256516
140	0.8024507923
141	0.8014713032
142	0.7999646682
143	0.7989031887
144	0.7977180484
145	0.7965218261
146	0.7953060236
147	0.7943628888
148	0.7929018633
149	0.7918699795
150	0.7903584278
151	0.7890432975
152	0.7878596536
153	0.7865424565
154	0.7855416072
155	0.7844218239
156	0.7835166262
157	0.7824414954
158	0.7811983119
159	0.7798508727
160	0.7786604807
161	0.7774914938
162	0.776194343
163	0.7749051283
164	0.7737555135
165	0.7726495275
166	0.7715463059
167	0.7704026607
168	0.769376308
169	0.7681602738
170	0.7670284431
171	0.7659905761
172	0.7651149169
173	0.7639895262
174	0.7627058678
175	0.76158908
176	0.7603678598
177	0.7591543514
178	0.757924577
179	0.7565744878
180	0.7557067299
181	0.7547476345
182	0.7536107302
183	0.7525237051
184	0.7514119029
185	0.7502918517
186	0.7491219935
187	0.7478477007
188	0.7468845445
189	0.7456880262
190	0.7448593953
191	0.7437916297
192	0.7427917386
193	0.7416303603
194	0.7406304139
195	0.7396290779
196	0.7386745023
197	0.7373621506
198	0.7364344457
199	0.7354586149
200	0.7345615114
201	0.7333686683
202	0.732439684
203	0.731488818
204	0.7304976689
205	0.7295780091
206	0.7285661798
207	0.7275882788
208	0.7268333287
209	0.7258315669
210	0.7248882963
211	0.7239552889
212	0.7232098226
213	0.7222766925
214	0.7211521016
215	0.7202544862
216	0.7193527189
217	0.7184284977
218	0.7174481159
219	0.7165323517
220	0.7156181242
221	0.7144872394
222	0.7136277372
223	0.7125464359
224	0.7116742737
225	0.7107427472
226	0.7097664317
227	0.7090897101
228	0.7081985171
229	0.7073407565
230	0.706626434
231	0.705665557
232	0.7048534685
233	0.7041361027
234	0.7034678114
235	0.70250057
236	0.701677803
237	0.7009320419
238	0.7000466401
239	0.6992579738
240	0.6985224291
241	0.6977466936
242	0.6968411131
243	0.6958812535
244	0.6951943092
245	0.6942856426
246	0.6934923582
247	0.692635664
248	0.6917194514
249	0.6909497251
250	0.689980575
251	0.6891420926
252	0.6881843822
253	0.6874699782
254	0.6867876002
255	0.6859167235
256	0.6851755194
257	0.6842734943
258	0.6833579739
259	0.6825265681
260	0.6815504004
261	0.680765953
262	0.6800302517
263	0.679208874
264	0.6784849616
265	0.6776871435
266	0.6769586402
267	0.6762498375
268	0.6754494647
269	0.6745467839
270	0.6738238199
271	0.6731276035
272	0.6725403306
273	0.6719555797
274	0.6713535841
275	0.6705091593
276	0.6694843306
277	0.6688233342
278	0.6681442197
279	0.6674544868
280	0.6666221717
281	0.6659234153
282	0.6649435457
283	0.6643791711
284	0.6636803006
285	0.6628439503
286	0.6621325956
287	0.6613429871
288	0.6606313478
289	0.6599953526
290	0.6593762959
291	0.6585822899
292	0.6580832746
293	0.6574083353
294	0.6567083199
295	0.6559600014
296	0.6553835955
297	0.6546713571
298	0.6541294654
299	0.6534628798
300	0.6528053111
301	0.6521035392
302	0.6516206923
303	0.6510753162
304	0.6503460193
305	0.6496981578
306	0.6491439485
307	0.6486871787
308	0.6480072392
309	0.647400097
310	0.6467589213
311	0.6460775772
312	0.6454581756
313	0.6447961016
314	0.6441790291
315	0.6435915836
316	0.6430581402
317	0.6425087579
318	0.6418390206
319	0.6412003534
320	0.64045354
321	0.6399755723
322	0.6394845263
323	0.6389533221
324	0.6383495869
325	0.6375975677
326	0.6369950172
327	0.6363705596
328	0.6357567817
329	0.6351710815
330	0.6346235565
331	0.6340333633
332	0.6334891185
333	0.6329810015
334	0.6326466728
335	0.6319916674
336	0.6315552225
337	0.631052405
338	0.6305883267
339	0.6300322842
340	0.6295962173
341	0.6289849559
342	0.62845102
343	0.6278070783
344	0.6271620934
345	0.6266817932
346	0.6259994982
347	0.6254922102
348	0.6248165754
349	0.6243217939
350	0.6238864124
351	0.6235345811
352	0.6229294016
353	0.622241806
354	0.6217019263
355	0.6211826059
356	0.6205168986
357	0.6201545308
358	0.6193828601
359	0.618851606
360	0.6181882853
361	0.6176705154
362	0.6170010692
363	0.6163645303
364	0.6157748224
365	0.615268886
366	0.61452595
367	0.6139702123
368	0.6132181581
369	0.6125969517
370	0.6121354693
371	0.6115329215
372	0.6109676714
373	0.6105770376
374	0.6100613962
375	0.6095215896
376	0.6091118664
377	0.6085724754
378	0.6081206431
379	0.6076791186
380	0.6072036196
381	0.6066353834
382	0.606121176
383	0.6055434976
384	0.6049964402
385	0.6045908627
386	0.6041743662
387	0.6036698488
388	0.6032099958
389	0.6027996632
390	0.6023128418
391	0.6018029021
392	0.6011619443
393	0.6006693914
394	0.600055877
395	0.5995707452
396	0.5990780902
397	0.5986772126
398	0.598380156
399	0.5979756832
400	0.5974430279
401	0.5970136595
402	0.5964594058
403	0.5961235918
404	0.595606921
405	0.5950529027
406	0.5945242651
407	0.5941292668
408	0.5937789834
409	0.593238675
410	0.5928644339
411	0.5924998324
412	0.5920855775
413	0.5916648034
414	0.5912593954
415	0.5906917258
416	0.5902305786
417	0.5895932479
418	0.589240551
419	0.5889002442
420	0.5883656741
421	0.5878990807
422	0.5872126455
423	0.5866495363
424	0.586205353
425	0.5855068928
426	0.5849234566
427	0.5845533107
428	0.5841747141
429	0.5834844604
430	0.583060155
431	0.5824640578
432	0.582193385
433	0.5818500726
434	0.5813942441
435	0.5810700883
436	0.580638695
437	0.5802186272
438	0.5798683913
439	0.5796242354
440	0.5792336721
441	0.5788050344
442	0.5782173313
443	0.577875972
444	0.5772695968
445	0.5769791567
446	0.5766057753
447	0.5763552324
448	0.5760597772
449	0.5755869536
450	0.5751425888
451	0.574646263
452	0.5742890576
453	0.5737875833
454	0.5733633674
455	0.5730592423
456	0.5726224441
457	0.5723452243
458	0.5719760252
459	0.5717897178
460	0.5715157609
461	0.5710940467
462	0.5708929179
463	0.5704867165
464	0.5700550062
465	0.5694620838
466	0.5690239351
467	0.5684801448
468	0.5682164254
469	0.5677969167
470	0.5674829756
471	0.5671194075
472	0.5667902295
473	0.5663432953
474	0.5658860713
475	0.5653686116
476	0.5650398295
477	0.5646537493
478	0.5643391866
479	0.5639153193
480	0.5636783396
481	0.5631961728
482	0.5628476959
483	0.5626017978
484	0.5622062416
485	0.5618735344
486	0.5614119828
487	0.5610175241
488	0.5606923928
489	0.5603408015
490	0.5597375244
491	0.5593805363
492	0.5588238793
493	0.5584176989
494	0.5580193613
495	0.5576577455
496	0.5573388757
497	0.5570485045
498	0.5566614778
499	0.5561939425
500	0.5558058908
501	0.5553429689
502	0.5549930005
503	0.5546014311
504	0.5541223581
505	0.5538834631
506	0.5535444459
507	0.5532694629
508	0.552932603
509	0.5527014821
510	0.5524264011
511	0.5519439914
512	0.5514961982
513	0.5512344662
514	0.5507524826
515	0.5504501116
516	0.5501153423
517	0.5498515352
518	0.549539787
519	0.5492065397
520	0.5488364463
521	0.5485951413
522	0.548250543
523	0.5478553259
524	0.5475772409
525	0.547314286
526	0.5470971776
527	0.5468588321
528	0.5468080706
529	0.5464833645
530	0.5462745528
531	0.5459058401
532	0.5455327375
533	0.5452493676
534	0.5447110882
535	0.5443714957
536	0.5440442014
537	0.5437889239
538	0.543505314
539	0.5430267558
540	0.5427722928
541	0.5424158288
542	0.542200425
543	0.5418346804
544	0.541316257
545	0.5410999512
546	0.5408270392
547	0.540501617
548	0.5402027979
549	0.5397592557
550	0.5395216156
551	0.539196468
552	0.5387424307
553	0.5384627829
554	0.5382407142
555	0.537946667
556	0.5375630066
557	0.537380114
558	0.5370371121
559	0.536836464
560	0.5365819478
561	0.5363493688
562	0.536045054
563	0.5358029184
564	0.5353789688
565	0.5350709025
566	0.534758992
567	0.5344259759
568	0.5341487484
569	0.5339216865
570	0.5335539604
571	0.5333189211
572	0.5329943576
573	0.5326913813
574	0.5323939025
575	0.5321708875
576	0.531720216
577	0.531456633
578	0.5311904786
579	0.530973165
580	0.5306883152
581	0.5304461857
582	0.5301246854
583	0.5298789222
584	0.5295468107
585	0.52919673
586	0.5289526161
587	0.5287588058
588	0.5283668547
589	0.5280535084
590	0.5276780313
591	0.5273958454
592	0.5272096317
593	0.5268964016
594	0.526656508
595	0.52644265
596	0.5260872097
597	0.5259017927
598	0.5254524863
599	0.5251786453
600	0.5249491612
601	0.5246003341
602	0.5242666853
603	0.5239857078
604	0.5238016612
605	0.5235888956
606	0.5232414367
607	0.5229446934
608	0.5224018693
609	0.5222203711
610	0.5219930551
611	0.5216806792
612	0.5214162738
613	0.521150814
614	0.5208694825
615	0.5205275667
616	0.5202897058
617	0.5200216931
618	0.5196191487
619	0.5192897482
620	0.5189398768
621	0.5186616336
622	0.5184575602
623	0.5181812893
624	0.5179472653
625	0.5177154939
626	0.5175120311
627	0.5173491649
628	0.5171337296
629	0.5169365187
630	0.516696283
631	0.5164696138
632	0.5161757929
633	0.5159243326
634	0.5155716259
635	0.515226348
636	0.5150219951
637	0.5147967835
638	0.5145584028
639	0.5143147938
640	0.5141528316
641	0.5139314664
642	0.513545316
643	0.5133013112
644	0.5130647586
645	0.5126429507
646	0.5123854911
647	0.5121382389
648	0.5118175151
649	0.5115647905
650	0.5113558235
651	0.511152084
652	0.5109472852
653	0.510731226
654	0.5104677631
655	0.5102564123
656	0.509968829
657	0.5095559127
658	0.509265325
659	0.5090416276
660	0.5087437772
661	0.5086341715
662	0.5083438545
663	0.5080838938
664	0.5076883142
665	0.5074828717
666	0.5073248507
667	0.5070208185
668	0.5066820421
669	0.5064660895
670	0.5063227943
671	0.5059940826
672	0.5058457926
673	0.5056543437
674	0.5053947716
675	0.5051065201
676	0.5049541973
677	0.5046540176
678	0.5044059275
679	0.5042348859
680	0.5039784387
681	0.5037701053
682	0.5036114822
683	0.5034515148
684	0.5033016139
685	0.5030053187
686	0.5027190019
687	0.502386259
688	0.5020707129
689	0.5018500252
690	0.501710162
691	0.5015054189
692	0.5012633676
693	0.5010706693
694	0.5008973932
695	0.5007192098
696	0.5003581469
697	0.5000029177
698	0.4998598851
699	0.4996475534
700	0.4994555665
701	0.4992372928
702	0.4991196584
703	0.4989691172
704	0.4987531951
705	0.4986051456
706	0.4984408939
707	0.4981119179
708	0.4979404912
709	0.4975880429
710	0.4973854027
711	0.4972240263
712	0.497013418
713	0.4966055296
714	0.4963605337
715	0.4961864885
716	0.4959129214
717	0.4957432259
718	0.4956189296
719	0.4954467831
720	0.4951553247
721	0.4948341522
722	0.4946811994
723	0.494317612
