iter	Passed	Remaining
0	1	26620
1	1	16383
2	1	12603
3	2	10905
4	2	9325
5	2	8249
6	2	7483
7	2	7075
8	3	6809
9	3	6578
10	3	6243
11	3	5955
12	3	5722
13	3	5528
14	4	5349
15	4	5188
16	4	5046
17	4	4920
18	4	4806
19	4	4700
20	4	4604
21	4	4519
22	5	4442
23	5	4371
24	5	4306
25	6	4735
26	6	4687
27	6	4626
28	6	4565
29	6	4509
30	6	4456
31	7	4404
32	7	4367
33	7	4325
34	7	4285
35	7	4247
36	7	4210
37	7	4175
38	8	4182
39	8	4125
40	8	4097
41	8	4069
42	8	4041
43	8	4018
44	9	3992
45	9	3968
46	9	3945
47	10	4207
48	10	4262
49	10	4271
50	10	4269
51	11	4256
52	11	4241
53	11	4218
54	11	4194
55	11	4170
56	11	4147
57	12	4131
58	12	4110
59	12	4172
60	12	4182
61	13	4203
62	13	4211
63	13	4216
64	13	4218
65	13	4198
66	14	4177
67	14	4159
68	14	4139
69	14	4119
70	14	4090
71	14	4071
72	15	4132
73	15	4116
74	15	4098
75	15	4080
76	15	4063
77	15	4045
78	15	4028
79	16	4015
80	16	4035
81	16	4021
82	16	4007
83	16	3992
84	16	3977
85	17	3964
86	17	3950
87	17	3937
88	17	3926
89	17	3912
90	17	3900
91	18	3942
92	18	4014
93	19	4068
94	19	4061
95	19	4051
96	19	4031
97	19	4022
98	19	4010
99	20	3999
100	20	3988
101	20	3976
102	20	3965
103	20	3954
104	20	3942
105	20	3933
106	21	4028
107	21	4024
108	22	4016
109	22	4007
110	22	3996
111	22	3985
112	22	3995
113	23	4025
114	23	4054
115	23	4061
116	24	4102
117	24	4166
118	25	4183
119	25	4251
120	25	4267
121	26	4306
122	26	4324
123	27	4340
124	29	4672
125	29	4695
126	30	4717
127	30	4746
128	30	4754
129	31	4763
130	31	4767
131	31	4762
132	31	4773
133	32	4798
134	32	4810
135	32	4813
136	33	4831
137	33	4835
138	33	4835
139	34	4843
140	34	4870
141	35	4904
142	35	4895
143	35	4880
144	35	4890
145	35	4892
146	36	4896
147	36	4886
148	36	4887
149	36	4883
150	37	4918
151	37	4917
152	37	4908
153	38	4900
154	38	4891
155	38	4881
156	38	4870
157	38	4865
158	39	4873
159	39	4880
160	39	4910
161	40	4904
162	40	4897
163	40	4893
164	40	4888
165	40	4880
166	41	4872
167	41	4866
168	41	4854
169	41	4847
170	41	4840
171	41	4833
172	42	4839
173	42	4839
174	42	4842
175	42	4837
176	43	4834
177	43	4828
178	43	4821
179	43	4820
180	44	4824
181	44	4821
182	44	4816
183	44	4830
184	45	4825
185	45	4818
186	45	4814
187	45	4809
188	45	4801
189	45	4793
190	46	4783
191	46	4778
192	46	4777
193	46	4786
194	47	4783
195	47	4783
196	47	4780
197	47	4772
198	47	4765
199	48	4758
200	48	4749
